"","actor.type","year","real.year","country","country.name","Mood","Polarization"
"465",4,10,2002,11,"Honduras",0.0105217291378722,5.95353135229729
"466",4,14,2006,11,"Honduras",-1.07092511054217,5.20891831534643
"467",4,18,2010,11,"Honduras",0.48767982452205,5.74493771839485
"468",4,2,1994,12,"Mexico",-0.619855066932984,5.16397148014218
"469",4,5,1997,12,"Mexico",1.88252653752437,4.46383661550321
"470",4,8,2000,12,"Mexico",1.47161906476862,4.81463349423631
"471",4,11,2003,12,"Mexico",1.24858487091083,4.67366645551669
"472",4,14,2006,12,"Mexico",1.0759155925152,4.84350539099913
"473",4,17,2009,12,"Mexico",1.04383950084769,5.22421553997615
"474",4,4,1996,13,"Nicaragua",1.58176539027498,5.14371469247128
"475",4,10,2002,13,"Nicaragua",0.323083334512222,3.0081267415655
"476",4,15,2007,13,"Nicaragua",0.571202282138496,6.08047924531783
"477",4,7,1999,14,"Panama",0.177167103136212,5.96755230453614
"478",4,12,2004,14,"Panama",0.937722855140762,5.61982483177469
"479",4,17,2009,14,"Panama",1.06976846874709,3.86009236743659
"480",4,1,1993,15,"Paraguay",0.801439320378897,6.13485819187319
"481",4,6,1998,15,"Paraguay",1.08636516156564,5.69433232632284
"482",4,11,2003,15,"Paraguay",0.525310734435574,6.29512829968738
"483",4,16,2008,15,"Paraguay",-0.340666628052606,6.29921375403017
"484",4,3,1995,16,"Peru",-0.445568643578253,5.845569411864
"485",4,9,2001,16,"Peru",0.376391714808354,5.73947518329524
"486",4,14,2006,16,"Peru",0.831470906810111,5.74823753404453
"487",4,3,1995,17,"Uruguay",0.0632778345286269,5.55113807498965
"488",4,8,2000,17,"Uruguay",0.772682139409814,5.59773485386405
