"","actor.type","year","country","Mood","Polarization"
"223",1,13,14,-0.0374369,1.268325
"224",1,14,14,-0.2219125,1.646265
"225",1,15,14,0.5903325,2.397885
"226",1,16,14,-0.6942635,1.05178
"227",1,17,14,0.52927,2.912595
"228",1,18,14,0.160838,1.888595
"229",1,19,14,0.2501745,3.221145
"230",1,20,14,-0.5536535,1.91261
"231",1,21,14,-0.7350485,2.20838
"232",1,22,14,0.4657855,2.71048
"233",1,4,15,-0.5893565,1.621005
"234",1,6,15,0.1415485,0.7240575
"235",1,8,15,0.317563,3.50172
"236",1,9,15,0.210846,1.028995
"237",1,10,15,-0.539331,1.394385
"238",1,11,15,-0.441431,0.8015745
"239",1,12,15,-0.600169,1.27102
"240",1,13,15,-0.2364195,2.69223
"241",1,14,15,-0.5484985,1.34522
"242",1,15,15,0.2780425,2.73012
"243",1,16,15,-0.510674,0.8696615
"244",1,17,15,0.07037735,2.52768
"245",1,18,15,0.1390585,0.945574
"246",1,19,15,0.0815246,2.367645
"247",1,20,15,-0.7891865,1.64522
"248",1,21,15,-0.6371235,0.9240465
"249",1,22,15,-0.1597355,1.918795
"250",1,4,16,-0.781239,1.53338
"251",1,6,16,0.285506,0.55053
"252",1,8,16,0.858032,3.331355
"253",1,9,16,0.02724655,1.583345
"254",1,10,16,-0.472114,1.886135
