"","country","date","ccode","year","Month","Election.Lower","Inauguration.Lower","Election.Upper","Inauguration.Upper","Election.Exec","Inauguration.Exec","Combo","who","sessions","reservedareasecandfin","urgencybills","residualdecree","cdacontent","cdaoutcome","referendum2","budgetspending","budgetoutcome","vetochambers","vetooverride","lineitem","partialobservationsoverride","budgetveto","h_ballot","h_vote","h_pool","s_ballot","s_vote","s_pool","hpartys","govsh","mingov","govcoal"
"73","Argentina",Jan 1985,10,1985,"January",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"74","Argentina",Feb 1985,10,1985,"February",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"75","Argentina",Mar 1985,10,1985,"March",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"76","Argentina",Apr 1985,10,1985,"April",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"77","Argentina",May 1985,10,1985,"May",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"78","Argentina",Jun 1985,10,1985,"June",NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"79","Argentina",Jul 1985,10,1985,"July",NA,NA,NA,NA,NA,1,4,2,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"80","Argentina",Aug 1985,10,1985,"August",NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"81","Argentina",Sep 1985,10,1985,"September",NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"82","Argentina",Oct 1985,10,1985,"October",NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"83","Argentina",Nov 1985,10,1985,"November",NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
"84","Argentina",Dec 1985,10,1985,"December",NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,0,0,3,2,0,2,1,0,0,0,0,0,0,0.509881436824799,0.509881436824799,0,0
