Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Guatemala	TradeDispersion	25.73	25.73	13.11	13.11	8.57	8.57	8.57	8.57	8.57	5.95	7.45	9.25	9.25	9.55	8.96	8.37	7.89	7.09	6.88	6.67	6.46	6.46	6.45	6.44	6.49
Honduras	TradeDispersion					21.84						7.52	5.54	5.54	5.54	7.96	7.61	7.16	6.73	6.75	6.77	6.59	7.24	7.89	7.91	7.87
Jamaica	TradeDispersion		28.16	13.14	13.14	13.59	13.59	13.79	13.79	13.14	13.14	13.14	11.22	15.01	15.01	11.14	12.44	12.38	12.41	12.41			12.92	13.15		
Mexico	TradeDispersion	15.18	14.08	14.08	6.89	6.89	4.43	4.43	4.53	4.42	4.42	5.43	13.32	13.32	13.45	13.47	14.14	14.13	14.86	14.83	15.2	15.06	8.71	11.95	15.19	14.86
Nicaragua	TradeDispersion	28.46		11.38			4.65				9.52	7.54	5.3	3.99	7.27	7.51	5.82	6.91	6.92	6.89	6.86	7.56	7.79	8.02	8.06	8.09
Paraguay	TradeDispersion		15.24	15.24	15.24	15.24	13.03	1.4	7.82	6.87	7.72	6.92	7.11	6.7	6.5	6.83	6.69	6.23	6.21	6.24	6.86	6.93	7.01	6.86	6.86	6.86
Peru	TradeDispersion	26.84	25.96	25.96	27.46	27.46	22.65	22.65	4.41	4.41	3.41	3.41	2.91	2.91	2.87	2.88	3.68				5.22	5.7	5.78	5.78	6.22	5.88
TrinidadTobago	TradeDispersion					6.92	6.92	15.3	15.3	12.23	12.23	12.23	12.23	16.31	16.31	11.36	11.78	12.19	12.28	12.28			11.73	12.27	12.27	
Uruguay	TradeDispersion	16.29	18.9	18.9	14.47	14.47	9.75	9.75	5.93	5.91	5.91	7.11	7.32	6.92	7.22	7	6.82	6.6	6.49	6.49	6.49	6.92	7.02	7.03	7.12	7.11
Venezuela	TradeDispersion	28.62	30.25	30.25	31.46	31.46	17.13	17.13	11.32	11.37	11.37	4.83	4.78	6.08	6.07	6.06	6.06	6.2	6.33	6.2	6.06	6.06	7.07	7.53	7.85	7.85
Argentina	StdTradeDispersion	0.65	0.51	0.51	0.48	0.48	0.79	0.79	0.82	0.88	0.84	0.82	0.83	0.84	0.84	0.84	0.84	0.84	0.85	0.8	0.82	0.83	0.83	0.83	0.84	0.83
Bolivia	StdTradeDispersion	0.58	0.47	0.47	0.78	0.78	0.68	0.87	0.88	0.98	0.99	0.97	0.97	0.97	0.97	0.97	0.94	0.94	0.86	0.9	0.94	0.93	0.93	0.93	0.93	0.86
Brasil	StdTradeDispersion	0	0.18	0.18	0.29	0.53	0.52	0.59	0.66	0.8	0.8	0.83	0.79	0.82	0.82	0.83	0.84	0.83	0.84	0.84	0.84	0.84	0.84	0.84	0.81	0.8
Chile	StdTradeDispersion	0.93	0.96	0.96	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.98	0.99	1	1	0.99	0.98	0.98	0.98	0.99	0.99	0.98	0.99
Colombia	StdTradeDispersion	0.33	0.6	0.6	0.58	0.58	0.66	0.8	0.85	0.85	0.85	0.88	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.84	0.83	0.82	0.82	0.82	0.82	0.82
CostaRica	StdTradeDispersion	0.4	0.76	0.81	0.81	0.81	0.81	0.81	0.82	0.86	0.87	0.82	0.74	0.77	0.81	0.67	0.76	0.78	0.78	0.78	0.78	0.77	0.77	0.76	0.75	0.74
DominicanRep	StdTradeDispersion						0.68	0.68	0.68	0.68	0.73	0.73	0.73	0.78	0.74	0.78	0.76	0.81	0.81	0.81	0.81	0.81	0.81	0.78	0.81	0.79
Ecuador	StdTradeDispersion		0.06	0.06	0.07	0.07	0.51	0.51	0.86	0.86	0.85	0.87	0.85	0.85	0.85	0.84			0.85	0.85	0.85	0.84	0.84	0.84	0.78	0.71
ElSalvador	StdTradeDispersion		0.71	0.73	0.73	0.79	0.79	0.79	0.79	0.83	0.86	0.82	0.78	0.78	0.81	0.8	0.78	0.78	0.79	0.79	0.79	0.82	0.77	0.81	0.78	0.78
Guatemala	StdTradeDispersion	0.38	0.38	0.69	0.69	0.79	0.79	0.79	0.79	0.79	0.86	0.82	0.78	0.78	0.77	0.79	0.8	0.81	0.83	0.83	0.84	0.85	0.85	0.85	0.85	0.84
Honduras	StdTradeDispersion					0.48						0.82	0.87	0.87	0.87	0.81	0.82	0.83	0.84	0.84	0.84	0.84	0.83	0.81	0.81	0.81
Jamaica	StdTradeDispersion		0.32	0.68	0.68	0.67	0.67	0.67	0.67	0.68	0.68	0.68	0.73	0.64	0.64	0.73	0.7	0.7	0.7	0.7			0.69	0.68		
Mexico	StdTradeDispersion	0.64	0.66	0.66	0.83	0.83	0.89	0.89	0.89	0.89	0.89	0.87	0.68	0.68	0.68	0.68	0.66	0.66	0.64	0.64	0.64	0.64	0.79	0.71	0.64	0.64
Nicaragua	StdTradeDispersion	0.32		0.73			0.89				0.77	0.82	0.87	0.9	0.83	0.82	0.86	0.83	0.83	0.83	0.84	0.82	0.81	0.81	0.81	0.81
Paraguay	StdTradeDispersion		0.63	0.63	0.63	0.63	0.69	0.97	0.81	0.84	0.81	0.83	0.83	0.84	0.84	0.84	0.84	0.85	0.85	0.85	0.84	0.83	0.83	0.84	0.84	0.84
Peru	StdTradeDispersion	0.36	0.38	0.38	0.34	0.34	0.46	0.46	0.89	0.89	0.92	0.92	0.93	0.93	0.93	0.93	0.91				0.87	0.86	0.86	0.86	0.85	0.86
TrinidadTobago	StdTradeDispersion					0.83	0.83	0.63	0.63	0.71	0.71	0.71	0.71	0.61	0.61	0.73	0.72	0.71	0.71	0.71			0.72	0.71	0.71	
Uruguay	StdTradeDispersion	0.61	0.55	0.55	0.65	0.65	0.77	0.77	0.86	0.86	0.86	0.83	0.82	0.83	0.83	0.83	0.84	0.84	0.84	0.84	0.84	0.83	0.83	0.83	0.83	0.83
Venezuela	StdTradeDispersion	0.31	0.27	0.27	0.25	0.25	0.59	0.59	0.73	0.73	0.73	0.88	0.89	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.85	0.83	0.82	0.81	0.81
